size;top_tube_horizontal;seat_tube_length;seat_tube_angle;head_tube_angle;chainstay;fork_rake;wheelbase;trail;bb_drop;front_center_distance;head_tube_length;stack;reach;standover_height;fork_axle_to_crown
51R;533;510;74;71.5;419;45;992;68;74;585;106;530;380;758;381;
51T;532;514;74;71.5;419;45;992;68;74;585;137;560;370;772;381;
54R;546;532;73.75;72.25;419;45;998;63.2;72;590;124;548;386;780;381;
54T;548;536;73.75;72.25;419;45;1001;63.2;72;592;157;580;378;795;381;
56R;562;562;73.5;73;419;45;1005;58.4;72;596;140;566;394;794;381;
56T;564;564;73.5;73;419;45;1007;58.4;72;599;176;600;386;815;381;
58R;575;575;73.5;73.25;419;45;1016;56.8;72;607;158;584;402;812;381;
58T;578;578;73.5;73.25;419;45;1019;56.8;72;610;195;620;394;833;381;
61R;588;588;73.5;73.25;419;45;1029;56.8;72;621;177;602;410;830;381;
61T;592;592;73.5;73.25;419;45;1033;56.8;72;624;216;640;402;851;381;